"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Search products in POS","src.tests.functional","Sat Jul 18 08:06:40 UTC 2026","skipped","Sat Jul 18 08:06:40 UTC 2026","TestPosFullWorkflow","test_pos_full_workflow","",""
"","0","Create customer with invalid email","src.tests.negative","Sat Jul 18 08:09:07 UTC 2026","skipped","Sat Jul 18 08:09:07 UTC 2026","TestDataValidation","test_data_validation","",""
"","5693","Receipt handles multiple line items","src.tests.functional","Sat Jul 18 08:07:44 UTC 2026","passed","Sat Jul 18 08:07:49 UTC 2026","TestReceiptVerification","test_receipt_verification","",""
"","0","Bank card payment processes correctly","src.tests.integration","Sat Jul 18 08:09:02 UTC 2026","skipped","Sat Jul 18 08:09:02 UTC 2026","TestPaymentIntegration","test_payment_integration","",""
"","0","Split payment recorded to correct accounts","src.tests.integration","Sat Jul 18 08:09:02 UTC 2026","skipped","Sat Jul 18 08:09:02 UTC 2026","TestPaymentIntegration","test_payment_integration","",""
"","0","POS interface renders in Chromium","src.tests.compatibility","Sat Jul 18 08:06:21 UTC 2026","skipped","Sat Jul 18 08:06:21 UTC 2026","TestCrossBrowser","test_cross_browser","",""
"","0","Order processing performance","src.tests.performance","Sat Jul 18 08:09:47 UTC 2026","skipped","Sat Jul 18 08:09:47 UTC 2026","TestPosPagePerformance","test_pos_load","",""
"","687","Inventory report generation","src.tests.functional","Sat Jul 18 08:06:39 UTC 2026","passed","Sat Jul 18 08:06:40 UTC 2026","TestInventoryManagement","test_inventory","",""
"","1","Login with empty credentials","src.tests.negative","Sat Jul 18 08:09:07 UTC 2026","skipped","Sat Jul 18 08:09:07 UTC 2026","TestInvalidLogin","test_invalid_login","",""
"","1692","Login with demo user credentials","src.tests.functional","Sat Jul 18 08:06:33 UTC 2026","passed","Sat Jul 18 08:06:34 UTC 2026","TestAuthentication","test_auth","",""
"","128","Tab order follows logical sequence","src.tests.usability","Sat Jul 18 08:10:21 UTC 2026","passed","Sat Jul 18 08:10:21 UTC 2026","TestUiConsistency","test_ui_consistency","",""
"","0","Zero-rated tax products","src.tests.functional","Sat Jul 18 08:09:02 UTC 2026","skipped","Sat Jul 18 08:09:02 UTC 2026","TestTaxCalculations","test_tax_calculations","",""
"","132","POS handles slow network (3G throttling)","src.tests.network","Sat Jul 18 08:09:13 UTC 2026","passed","Sat Jul 18 08:09:13 UTC 2026","TestNetworkTolerance","test_network_tolerance","",""
"","5562","Receipt shows correct product count after sale","src.tests.functional","Sat Jul 18 08:06:49 UTC 2026","passed","Sat Jul 18 08:06:55 UTC 2026","TestReceiptVerification","test_receipt_verification","",""
"","110","POS page loads under high latency (300ms)","src.tests.network","Sat Jul 18 08:09:14 UTC 2026","passed","Sat Jul 18 08:09:14 UTC 2026","TestNetworkTolerance","test_network_tolerance","",""
"","0","Refund reverses original payment entry","src.tests.integration","Sat Jul 18 08:09:02 UTC 2026","skipped","Sat Jul 18 08:09:02 UTC 2026","TestPaymentIntegration","test_payment_integration","",""
"","0","Set quantity on order line","src.tests.functional","Sat Jul 18 08:06:40 UTC 2026","skipped","Sat Jul 18 08:06:40 UTC 2026","TestPosFullWorkflow","test_pos_full_workflow","",""
"","1108","Loading states are indicated","src.tests.usability","Sat Jul 18 08:10:17 UTC 2026","passed","Sat Jul 18 08:10:18 UTC 2026","TestUiConsistency","test_ui_consistency","",""
"","155","Login page displays in default language","src.tests.compatibility","Sat Jul 18 08:06:26 UTC 2026","passed","Sat Jul 18 08:06:26 UTC 2026","TestMultiCurrency","test_multi_currency","",""
"","2881","Admin user can login successfully","src.tests.functional","Sat Jul 18 08:06:26 UTC 2026","passed","Sat Jul 18 08:06:29 UTC 2026","TestAuthentication","test_auth","",""
"","5564","Receipt subtotal is greater than zero","src.tests.functional","Sat Jul 18 08:07:16 UTC 2026","passed","Sat Jul 18 08:07:22 UTC 2026","TestReceiptVerification","test_receipt_verification","",""
"","0","Create customer with empty name","src.tests.negative","Sat Jul 18 08:09:07 UTC 2026","skipped","Sat Jul 18 08:09:07 UTC 2026","TestDataValidation","test_data_validation","",""
"","1109","Form submission under network degradation","src.tests.network","Sat Jul 18 08:09:15 UTC 2026","passed","Sat Jul 18 08:09:16 UTC 2026","TestNetworkTolerance","test_network_tolerance","",""
"","0","Scan barcode adds product to order","src.tests.functional","Sat Jul 18 08:06:35 UTC 2026","skipped","Sat Jul 18 08:06:35 UTC 2026","TestBarcodeScanning","test_barcode_scanning","",""
"","0","Search product by barcode in inventory","src.tests.functional","Sat Jul 18 08:06:38 UTC 2026","skipped","Sat Jul 18 08:06:38 UTC 2026","TestInventoryManagement","test_inventory","",""
"","443","User can logout successfully","src.tests.functional","Sat Jul 18 08:06:31 UTC 2026","passed","Sat Jul 18 08:06:31 UTC 2026","TestAuthentication","test_auth","",""
"","0","Create product with extremely long name","src.tests.negative","Sat Jul 18 08:09:07 UTC 2026","skipped","Sat Jul 18 08:09:07 UTC 2026","TestDataValidation","test_data_validation","",""
"","0","Payment with zero cash amount is rejected","src.tests.functional","Sat Jul 18 08:06:40 UTC 2026","skipped","Sat Jul 18 08:06:40 UTC 2026","TestMultiPayment","test_multi_payment","",""
"","0","Search for a product","src.tests.functional","Sat Jul 18 08:06:40 UTC 2026","skipped","Sat Jul 18 08:06:40 UTC 2026","TestProductManagement","test_product_management","",""
"","787","UI renders correctly at tablet resolution (768x1024)","src.tests.compatibility","Sat Jul 18 08:06:22 UTC 2026","passed","Sat Jul 18 08:06:22 UTC 2026","TestCrossBrowser","test_cross_browser","",""
