"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"10","","0","General","20","0","General","0"
"3","","0","General","2","0","Stock Control","0"
"3","","0","Inventory Management","2","0","General","0"
"3","","0","Inventory Management","2","0","Stock Control","0"
"0","","0","General","2","0","Currency Display and Multi-Language Support","0"
"0","","0","Multi-Currency Compatibility","2","0","General","0"
"0","","0","Multi-Currency Compatibility","2","0","Currency Display and Multi-Language Support","0"
"3","","0","General","1","0","Sales Transactions","0"
"3","","0","POS Workflow","1","0","General","0"
"3","","0","POS Workflow","1","0","Sales Transactions","0"
"0","","0","General","5","0","Login","0"
"0","","0","Authentication","5","0","General","0"
"0","","0","Authentication","5","0","Login","0"
"4","","0","General","0","0","Peripheral Simulation","0"
"4","","0","Compatibility","5","0","General","0"
"4","","0","Compatibility","0","0","Peripheral Simulation","0"
"0","","0","General","5","0","Payment Method Handling and Split Payments","0"
"0","","0","Multi-Payment Methods","5","0","General","0"
"0","","0","Multi-Payment Methods","5","0","Payment Method Handling and Split Payments","0"
"0","","0","General","5","0","Cross-Browser","0"
"0","","0","Compatibility","5","0","Cross-Browser","0"
"0","","0","Barcode Scanning","0","5","Barcode Search and Product Lookup","0"
