"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","560","Product stock decreases after POS sale","src.tests.functional","Mon Jul 06 19:34:40 UTC 2026","passed","Mon Jul 06 19:34:41 UTC 2026","TestInventoryManagement","test_inventory","",""
"","247","Login page displays in default language","src.tests.compatibility","Mon Jul 06 19:23:32 UTC 2026","passed","Mon Jul 06 19:23:32 UTC 2026","TestMultiCurrency","test_multi_currency","",""
"","3279","POS interface loads successfully","src.tests.functional","Mon Jul 06 19:41:09 UTC 2026","passed","Mon Jul 06 19:41:12 UTC 2026","TestPosFullWorkflow","test_pos_full_workflow","",""
"","1317","Admin user can login successfully","src.tests.functional","Mon Jul 06 19:34:29 UTC 2026","passed","Mon Jul 06 19:34:30 UTC 2026","TestAuthentication","test_auth","",""
"","46560","Complete a single product sale with cash payment","src.tests.functional","Mon Jul 06 19:41:18 UTC 2026","broken","Mon Jul 06 19:42:04 UTC 2026","TestPosFullWorkflow","test_pos_full_workflow","",""
"","46559","Multiple payment terminal support","src.tests.compatibility","Mon Jul 06 19:28:43 UTC 2026","broken","Mon Jul 06 19:29:30 UTC 2026","TestPeripheralSimulation","test_peripheral_simulation","",""
"","18330","Payment with zero cash amount is rejected","src.tests.functional","Mon Jul 06 19:39:57 UTC 2026","passed","Mon Jul 06 19:40:15 UTC 2026","TestMultiPayment","test_multi_payment","",""
"","46561","Complete a sale with multiple products","src.tests.functional","Mon Jul 06 19:44:13 UTC 2026","broken","Mon Jul 06 19:44:59 UTC 2026","TestPosFullWorkflow","test_pos_full_workflow","",""
"","201","Database selection on multi-db setup","src.tests.functional","Mon Jul 06 19:34:36 UTC 2026","passed","Mon Jul 06 19:34:36 UTC 2026","TestAuthentication","test_auth","",""
"","1193","Login page renders in Chromium","src.tests.compatibility","Mon Jul 06 19:23:18 UTC 2026","passed","Mon Jul 06 19:23:19 UTC 2026","TestCrossBrowser","test_cross_browser","",""
"","382","User can logout successfully","src.tests.functional","Mon Jul 06 19:34:32 UTC 2026","passed","Mon Jul 06 19:34:32 UTC 2026","TestAuthentication","test_auth","",""
"","0","Scan non-existent barcode shows no product","src.tests.functional","Mon Jul 06 19:34:36 UTC 2026","skipped","Mon Jul 06 19:34:36 UTC 2026","TestBarcodeScanning","test_barcode_scanning","",""
"","665","UI renders correctly at desktop HD (1920x1080)","src.tests.compatibility","Mon Jul 06 19:23:31 UTC 2026","passed","Mon Jul 06 19:23:31 UTC 2026","TestCrossBrowser","test_cross_browser","",""
"","18592","Bank card payment completes successfully","src.tests.functional","Mon Jul 06 19:38:42 UTC 2026","passed","Mon Jul 06 19:39:01 UTC 2026","TestMultiPayment","test_multi_payment","",""
"","46561","Cash drawer integration signal","src.tests.compatibility","Mon Jul 06 19:31:38 UTC 2026","broken","Mon Jul 06 19:32:25 UTC 2026","TestPeripheralSimulation","test_peripheral_simulation","",""
"","93634","Search product by barcode in inventory","src.tests.functional","Mon Jul 06 19:34:43 UTC 2026","broken","Mon Jul 06 19:36:17 UTC 2026","TestInventoryManagement","test_inventory","",""
"","3609","Inventory report generation","src.tests.functional","Mon Jul 06 19:37:55 UTC 2026","broken","Mon Jul 06 19:37:59 UTC 2026","TestInventoryManagement","test_inventory","",""
